text,label
you left work early today,stalker_behavior
"sab dikhawa hai, asli me kuch nahi",harassment_med
"tum itni khoobsurat ho, control nahi hota",creepy_flirt
tumhara moral zero hai,harassment_med
tumhara level hi low hai,harassment_med
behenji style,harassment_mild
tumhari presence light lagti hai,safe
too skinny,harassment_med
fatso,harassment_med
heartbeat,creepy_flirt
tumhari photo natural aur sweet hai,safe
you entered building with your friend,stalker_behavior
tumne story me same location dali,stalker_behavior
pure-hearted person,safe
dark underarms,harassment_mild
bhot khoobsurat,safe
oily,harassment_mild
You are so silly and pathetic.,harassment_severe
tumhara smile dil le gaya,creepy_flirt
sweet heart,creepy_flirt
you stood near flower shop,stalker_behavior
you took right turn near school,stalker_behavior
"loved this post, so real",safe
nice energy,safe
tumhare bina lagta hai insta khali hai,creepy_flirt
you’re a total disaster online,harassment_severe
kal raat sapne mein thi tum,creepy_flirt
tumhare jaise ladki mil jaye toh life set,creepy_flirt
you took auto number 2185,stalker_behavior
everyone would be better off without your posts,harassment_severe
mar ja,harassment_severe
tum shopping street pe slow walk kar rahi thi,stalker_behavior
you should be publicly reprimanded,harassment_severe
fire girl,safe
tumhari har post save karta hoon,creepy_flirt
lips bade lag rahe,harassment_mild
you’re driving me crazy,creepy_flirt
chin weird hai,harassment_mild
ye ladki toh poori attention seeker hai,harassment_med
say something,creepy_flirt
tumhe dekh ke din ban gaya,creepy_flirt
nobody wants you here,harassment_severe
tum garden ke bench pe thi kal,stalker_behavior
hate face,harassment_med
tumhe dekh ke dil shant ho jata hai,creepy_flirt
waiting,creepy_flirt
tum kuch khaas nahi,harassment_mild
tum parking lot ke pass thi,stalker_behavior
tumhare jaise log dikhawa karte hain respect ka,harassment_mild
you looked like a goddess,creepy_flirt
tere jaise log bas attention ke liye jeete hai,harassment_med
vibe check,safe
tumhe lagta hai koi kuch nahi karega?,harassment_severe
too loud,harassment_mild
tumhare jaise log sirf problem create karte hai,harassment_med
i saw you entering the library today,stalker_behavior
you forgot your bottle at desk,stalker_behavior
body loose hai,harassment_med
tumhara expression natural hai,safe
tum sirf attention ke liye logon ko use karti ho,harassment_med
no one takes you seriously,harassment_med
alwaysonline,creepy_flirt
thick arms,harassment_mild
tumhe sabke saamne girane wala hoon,harassment_severe
gain weight,harassment_mild
such a positive vibe here,safe
tum fake innocence dikhati ho,harassment_mild
tumhe dekh ke lagta hai love ho gaya,creepy_flirt
dreamgirl,creepy_flirt
kal wali reel dekh ke heart aa gaya,creepy_flirt
possessive,creepy_flirt
your posts are attention seeking,harassment_mild
"stop trying to look good, it’s pathetic",harassment_severe
body dekh apni,harassment_med
tum jaise ladkiyon ki wajah se sabki badnaami hoti hai,harassment_med
"besharam kahin ki, ghar pe koi nahi samjhata kya",harassment_severe
i love how kind you are,safe
people regret interacting with you,harassment_severe
great,safe
nobody here even likes you,harassment_med
you’re always so dramatic,harassment_mild
eliminate,harassment_severe
accha,safe
nice,safe
perfect,safe
outfit chhoti hai,harassment_mild
your voice is calming,safe
you were waiting under tree shade,stalker_behavior
you make everything worse for everyone,harassment_severe
acne marks bhare,harassment_mild
lipstick over,harassment_mild
tum toh kamaal lag rahi ho,creepy_flirt
babe,creepy_flirt
fat lag rahi,harassment_med
tumhari soch bohot positive hai,safe
love your simplicity,safe
"you’re a bad influence, get gone",harassment_severe
kitni moti lagti,harassment_med
tum kuch alag hi feel deti ho,creepy_flirt
tumhara naam har kisi ke saath joda jata hai,harassment_severe
tumhare jaise ladkiyon pe koi bharosa nahi karta,harassment_severe
you’re a major source of annoyance,harassment_severe
"tum kuch bhi kar lo, log nahi pasand karte",harassment_med
"Stop talking, or I will post your nudes everywhere.",harassment_severe
dumb,harassment_mild
tum apne followers ko manipulate karti,harassment_med
what a lovely post,safe
eyes,creepy_flirt
you cause problems wherever you post,harassment_severe
tumne shopping bag pe tag lagaya,stalker_behavior
tum apne jaise hi log attract karti ho,harassment_mild
nobody likes you slut,harassment_severe
tumhara energy level amazing hai,safe
tumhare office ke pass dekha,stalker_behavior
no one likes every fat snack u do bitch.,harassment_severe
naughty,creepy_flirt
real photo daalo,harassment_mild
vibingwithu,creepy_flirt
you look annoying in every video,harassment_med
overacting karne se star nahi banti,harassment_med
you look cheap in every photo,harassment_med
cheap looking,harassment_med
face fat ho gaya,harassment_mild
tum offline jao toh bura lagta hai,creepy_flirt
end,harassment_severe
ghatiya style,harassment_med
tumhare posts dekh ke dil khush ho jaata hai,creepy_flirt
your actions make you untrustworthy,harassment_severe
tumhare jaise logon ki wajah se trust nahi karte,harassment_severe
"bahut bolti ho, ek din chup kara denge",harassment_severe
pathetic,harassment_med
beautiful vibes,safe
nice shot,safe
kaali lagti,harassment_med
chapri look,harassment_med
tumhe khud bhi pata nahi kya kar rahi ho,harassment_med
tumhara opinion matter nahi karta,harassment_med
tum basic lagti ho har time,harassment_mild
tatti post,harassment_severe
tum bookshop me 15 mins thi,stalker_behavior
nice-try,harassment_mild
tum social media pe apni izzat khud gira rahi ho,harassment_med
koi bhi tumhe seriously nahi dekhta,harassment_med
tum road cross karte hue dekhi gayi,stalker_behavior
uneven tone,harassment_mild
you looked soooo good in your last pic,creepy_flirt
i keep thinking about you.,creepy_flirt
i can’t stop thinking about you,creepy_flirt
no one cares about you or your posts,harassment_severe
you carried same bag again today,stalker_behavior
thodi gym ja,harassment_mild
so tempting,creepy_flirt
itni gandi reel banayi hai,harassment_med
people only talk to you out of pity,harassment_med
tumhara smile sabse pyara hai,safe
full drama,harassment_mild
i love your posts,safe
you were checking your reflection,stalker_behavior
you waited for cab near mall,stalker_behavior
you add nothing but drama,harassment_severe
tatti face,harassment_severe
cheap outfit,harassment_med
chill vibes,safe
you were talking to shopkeeper long,stalker_behavior
your online presence is completely unbearable,harassment_severe
face phool gaya,harassment_mild
everyone can see you're fake,harassment_med
"zyada share mat karo, nateeje kharab honge",harassment_severe
i saw you sitting at corner bench,stalker_behavior
dark circles,harassment_mild
charming,safe
tum car ke bonnet ke pass thi,stalker_behavior
hate vibe,harassment_med
tum attention ke liye kuch bhi kar sakti ho,harassment_med
stunninggg,safe
kya-baat,harassment_mild
kamar gayab,harassment_mild
you came out of bookstore,stalker_behavior
myangel,creepy_flirt
you were wearing silver ring,stalker_behavior
mil gaye toh dekh lena kya hota hai,harassment_severe
i saw you park your scooty,stalker_behavior
tumhara post positive feel deta hai,safe
aesthetic,safe
you're amazing,safe
tumhara scarf pink tha kal,stalker_behavior
tumne car door open kiya,stalker_behavior
"tum reply nahi karti, par main wait karta hoon",creepy_flirt
tum bohot understanding lagti ho,safe
tum online ho abhi?,creepy_flirt
not classy,harassment_mild
body shame,harassment_severe
so bold,creepy_flirt
tumhe sharam nahi aati aise post karte hue,harassment_med
yours,creepy_flirt
tumhe dekha rain mein khadi thi,stalker_behavior
tum sab ke saath close rehna pasand karti ho,harassment_med
die soon,harassment_severe
stop acting so desperate,harassment_severe
stunning as always,safe
tumhe dekh kar laga tum jaldi me thi,stalker_behavior
big nose,harassment_mild
you looked back once while walking,stalker_behavior
peaceful,safe
zero,harassment_mild
positive,safe
itni bhi beautiful nahi jitna sochti,harassment_med
you always make it about yourself,harassment_med
gym jao,harassment_mild
you looked too good last night.,creepy_flirt
i saw you in my society today,stalker_behavior
belly fat,harassment_mild
gora ban ja,harassment_mild
tumhara post energy deta hai,safe
tumhare ghar ke aas-paas rehta hoon,creepy_flirt
flat,harassment_mild
tu bas sympathy gain karna chahti hai,harassment_med
tumhare har expression yaad hai mujhe,creepy_flirt
tum online ho toh mood better lagta,creepy_flirt
i can’t stop staring,creepy_flirt
revenge,harassment_severe
tumne café ka photo tag kiya,stalker_behavior
tum itni sundar ho ki aankhen hatt’ti nahi,creepy_flirt
reply to me please,creepy_flirt
tum bus mein corner seat pe thi,stalker_behavior
my eyes only for you,creepy_flirt
such a sweet person!,safe
shortie,harassment_mild
this made me smile,safe
ye last baar bol raha hoon,harassment_med
tumhara impression bilkul ganda hai,harassment_med
tumhare ghar ki balcony lights on thi,stalker_behavior
tum ek hi time pe gym jaati ho,stalker_behavior
you deserve to be publicly shamed,harassment_severe
tumhare bina feed adhoora lagta hai,creepy_flirt
har cheez me overconfidence,harassment_mild
tum kisi pe bhi trust nahi karne layak ho,harassment_med
loveagain,creepy_flirt
bas body show karne aayi hai ye,harassment_severe
love the peaceful tone,safe
kya nautanki hai,harassment_mild
real charm,safe
kya smile hai tumhari,safe
you were at the station around 6,stalker_behavior
you waited under same tree,stalker_behavior
forevermine,creepy_flirt
tum phone me busy thi road pe,stalker_behavior
"tum kuch bhi post kar do, log ignore karte",harassment_mild
tumhara dressing sense sab kuch bata deta hai,harassment_med
stop existing online bop,harassment_severe
you stood near metro pole,stalker_behavior
dil khush ho gaya ye dekhke,safe
sending love and light,safe
you went grocery shopping at 7,stalker_behavior
tumhara fame bas luck hai,harassment_mild
lagta hai gym band hai,harassment_mild
"kuch bhi pehen leti ho, shame naam ki cheez hai bhi kya",harassment_med
tu famous hone ke liye kuch bhi karegi,harassment_med
you are completely intolerable,harassment_severe
stop trying to act innocent,harassment_med
have a peaceful day,safe
eyes chhoti,harassment_mild
sunshine,creepy_flirt
you took shortcut lane again,stalker_behavior
kapde sambhal nahi rahe,harassment_mild
nautanki,harassment_mild
tumhare liye kuch likhna chah raha hoon,creepy_flirt
tere jaise logon ki wajah se ladkiyon ka naam kharab hota hai,harassment_severe
tumhara attitude bas fake hai,harassment_mild
why do you even bother posting this?,harassment_severe
zyada smart mat ban,harassment_med
nonsense act,harassment_med
seductive,creepy_flirt
queen of hearts,creepy_flirt
you deserve all the love,safe
i hate your voice,harassment_med
baby girl,creepy_flirt
shape kharab,harassment_med
darling,creepy_flirt
such a comforting vibe,safe
so elegant,safe
i saw your shadow in café photo,stalker_behavior
tum fake innocence ka show karti ho,harassment_mild
tumhara naam sun ke hi smile aati,creepy_flirt
tumhari harkatein had se zyada hain,harassment_med
tumhe dekh ke lagta hai sab kuch perfect hai,creepy_flirt
sabko impress karne ke chakkar mein apni izzat khodi,harassment_severe
Their hearts are even blacker than their skins,harassment_severe
so wholesome,safe
fairness cream lagao,harassment_mild
stop embarrassing yourself in public,harassment_med
killer smile,safe
you wore white again today,stalker_behavior
shade galat lagaya,harassment_mild
expose,harassment_med
skin kharab ho gayi,harassment_mild
surgery karayi kya,harassment_mild
tumhari smile se energy milti hai,safe
a1 look,safe
bas sympathy gain karna aata hai tujhe,harassment_med
pimple,harassment_mild
lmao,harassment_mild
jealous,harassment_med
you looked tired walking home,stalker_behavior
you're so pretty omg,creepy_flirt
i saw you drop your handkerchief,stalker_behavior
i saw you laughing at that chai stall,stalker_behavior
tumhari vibe alag hi hai,creepy_flirt
mast smile,safe
apni aukaat dekhi hai kabhi,harassment_severe
positive and healthy energy,safe
tumhara smile confidence dikhata hai,safe
"tum itni perfect ho, real lagti hi nahi",creepy_flirt
tumhara light off hua 10:45 pe,stalker_behavior
you should be ashamed of yourself,harassment_severe
you left your umbrella in canteen,stalker_behavior
tum apni friend ke sath thi market mein,stalker_behavior
face dull lag raha,harassment_mild
kaale daag,harassment_mild
you crossed my lane again,stalker_behavior
good job done,safe
everyone laughs at you,harassment_med
bina makeup bhayanak,harassment_med
love your vibe,safe
tum sabko impress karne ke liye kuch bhi karti ho,harassment_mild
you always eat lunch at same café,stalker_behavior
i saw you entering café bluestone,stalker_behavior
tumne yellow dupatta liya tha,stalker_behavior
your opinions are trash,harassment_med
Hey sexy,harassment_severe
"you shouldn’t be here, i hope you choke and die",harassment_severe
weird face,harassment_med
tumhara attitude cheap lagta,harassment_mild
bewakoof,harassment_mild
kya hi kar logi life me,harassment_med
bakwas,harassment_mild
tum park ke gate pe ruk gayi thi,stalker_behavior
miss kar raha tha,creepy_flirt
you stood outside that cafe again,stalker_behavior
keep going,safe
you left café with same friend,stalker_behavior
you were at stoplight near mall,stalker_behavior
good energy,safe
bakwaas reel,harassment_mild
this is pathetic — stop now,harassment_severe
You are a fuckboy,harassment_severe
always thinking about you,creepy_flirt
tum auto stand ke pass thi,stalker_behavior
without filter toh scary,harassment_med
itni patli kyu,harassment_mild
you’re a public disgrace,harassment_severe
cutie,creepy_flirt
natural look nahi,harassment_mild
weird posture,harassment_mild
you are so worthless i swear,harassment_severe
tum phone me kisi ka message padh rahi thi,stalker_behavior
Will you go down on me?,harassment_severe
such a happy face,safe
ruin,harassment_severe
sab fake hai tere jaise influencers,harassment_med
you're so sweet,creepy_flirt
"Hiiii, you super hot, sexy ,Remember me ?",harassment_severe
tumne watch pe time dekha 8:15,stalker_behavior
itni cheap dressing kyu karti hai,harassment_med
tumhari smile dil chura leti hai,creepy_flirt
you dropped something near car,stalker_behavior
tum jaisi ladkiyon ki wajah se badnaami hoti hai,harassment_severe
tumhare pics kaise mil jaate hain mujhe,creepy_flirt
you were eating ice cream yesterday,stalker_behavior
without makeup ajeeb,harassment_mild
tumhare bina feed adhura lagta hai,creepy_flirt
She’s a hypocritical awful horrible disgusting excuse of a human being,harassment_severe
every post of yours is fire,creepy_flirt
tumhari har move notice karta hoon,creepy_flirt
"you should be banned from insta,you big fat ho",harassment_severe
tum same path se daily aati ho,stalker_behavior
rang kaala,harassment_severe
this caption feels heartfelt,safe
lovely and respectful comment,safe
fame-hungry,harassment_med
nonsense,harassment_mild
you have no idea what you do to me,creepy_flirt
itna hot,creepy_flirt
you're a failure,harassment_severe
tum bus ke corner seat pe thi,stalker_behavior
overweight,harassment_mild
bekaar,harassment_mild
tum sabko bewakoof banati ho,harassment_mild
why are you even alive? ,harassment_severe
you didn’t smile today,stalker_behavior
pretty face,safe
call me tonight,creepy_flirt
gandi vibe,harassment_med
thick thighs,harassment_mild
photozoom,creepy_flirt
tumhe lagta hai koi kuch nahi karega,harassment_med
tumhara reel delete karwa dunga,harassment_med
"itna makeup kyu karti ho, asli chehra dikhane se dar lagta hai kya",harassment_med
"tum kuch bhi post karti ho, bas dikhawa",harassment_mild
ab aged lagti,harassment_mild
tumhara aukaat dikhana padega,harassment_severe
loveyou,creepy_flirt
you didn’t post story today,stalker_behavior
stop pretending to be humble,harassment_med
you’ll never make it,harassment_severe
you left class early again,stalker_behavior
tum park ke corner pe khadi thi,stalker_behavior
i saw you at crossing signal 5,stalker_behavior
nobody would miss you if you left,harassment_severe
nicee,safe
sabko pata hai tu fake hai,harassment_med
tere jaise logon ko sab pata chal jata hai,harassment_med
i saw your shoes outside main door,stalker_behavior
you in my dreams again,creepy_flirt
not glowing,harassment_mild
moti ho gayi,harassment_med
smile,creepy_flirt
you came alone from metro,stalker_behavior
tumhare status pe reply nahi kiya tumne,creepy_flirt
buddhi face,harassment_med
i saw your reflection in mirror wall,stalker_behavior
your reputation is irreparably damaged,harassment_severe
"makeup hata ke dikha, asli chehra pata chalega",harassment_med
i like your style,safe
tumne white scarf pehna tha,stalker_behavior
you waved to someone near street corner,stalker_behavior
tumhara presence hi special lagta,creepy_flirt
face shape ajeeb,harassment_mild
obsession,creepy_flirt
you belong nowhere near this community,harassment_severe
tumhara naam sab jagah faila dunga,harassment_severe
tumhari awaaz imagine karta rehta hoon,creepy_flirt
you have such good energy,safe
get lost bitch,harassment_severe
Fuck your opinion,harassment_severe
your posts are poison to the feed,harassment_severe
itni pyaari kaise ho yaar,creepy_flirt
pathetic post,harassment_med
you looked perfect last night,creepy_flirt
pehle better thi,harassment_mild
I don’t want ur attention u dim fuck I want ur credit card and car keys,harassment_severe
dilse,safe
"zyada bolti ho, baad me pachhtaogi",harassment_severe
extra attitude,harassment_mild
kya smile hai,creepy_flirt
storyview,creepy_flirt
sending love and support,safe
tumhari post ka consequence milega,harassment_severe
flop,harassment_mild
face round lag raha,harassment_mild
you deserve all the hate,harassment_severe
"tum kuch bhi karo, lagta hai try-hard",harassment_mild
kahan gayi thi itne din,creepy_flirt
you always overreact,harassment_mild
well done,safe
tumhari profile roz check karta hoon,creepy_flirt
skeleton lagti,harassment_med
i know your timing by heart,stalker_behavior
tumhara style unique hai,safe
tumhare jaise ladkiyan attention ke liye sab kar deti,harassment_med
you smiled at someone near metro,stalker_behavior
tumne uss cafe me chai order ki thi,stalker_behavior
tumhara house ka colour white hai,stalker_behavior
"beautiful smile, can’t handle it",creepy_flirt
kya figure hai,creepy_flirt
stop being such a negative presence,harassment_severe
tum sab ke saath flirt karti ho,harassment_med
randi,harassment_severe
hi cutie,creepy_flirt
you ruined this space with your posts,harassment_severe
beautifully done,safe
you stopped to check your phone,stalker_behavior
i waited all day for your reply,creepy_flirt
tameez seekh lo,harassment_med
tum sab ke saath time pass karti ho,harassment_med
you closed your door at 9:10,stalker_behavior
foundation zyada hai,harassment_mild
why aren’t you answering?,creepy_flirt
that dress on you damn,creepy_flirt
t-zone chamak raha,harassment_mild
tum jaise log sirf attention ke liye online hai,harassment_med
"tumhe peace se rehna chahiye, warna mushkil hogi",harassment_med
ganda figure,harassment_severe
tum bohot caring lagti ho,safe
you make everything look cheap,harassment_med
you were talking to your friend riya,stalker_behavior
awesome reel,safe
sawyou,creepy_flirt
zabardast,safe
tumhe har din dekhna habit ban gaya,creepy_flirt
jyada dikhawa band kar warna accha nahi hoga,harassment_severe
tumhare jaise log image kharab karte,harassment_severe
you’re unbearable to follow,harassment_severe
tumhari photo wallpaper banayi hai,creepy_flirt
you forgot your bottle at gym,stalker_behavior
tum terrace pe music sun rahi thi,stalker_behavior
beizzati queen,harassment_med
tumhara sab kuch acting lagta,harassment_mild
you’ve sold out your dignity for likes,harassment_severe
you bought flowers from same uncle,stalker_behavior
gold-digger,harassment_med
kaali aur moti,harassment_severe
"hope you disappear from here,you big fat",harassment_severe
your vibe is so positive,safe
everyone is laughing at you,harassment_med
you take tea break at 4 everyday,stalker_behavior
love the outfit!,safe
public shame is the least you deserve,harassment_severe
tumhare room ka colour kya hai?,creepy_flirt
superstar-ban-gayi,harassment_mild
bright and happy photo,safe
tumne ek hi filter lagaya har reel pe,stalker_behavior
you talk too much,harassment_mild
tumhara reel bas time waste hai,harassment_mild
tumne photo li café ke mirror se,stalker_behavior
you make me uncomfortable,creepy_flirt
tumhara naam toh sab jagah ghoomta hai,harassment_severe
beautifully,safe
followback,creepy_flirt
clout-seeker,harassment_med
warm and gentle feeling,safe
your content is pure trash,harassment_severe
tumne insta pe green plant post ki,stalker_behavior
normal,harassment_mild
you crossed road signal ke pehle,stalker_behavior
nice work on this,safe
kya mast lag rahi ho,creepy_flirt
please reply i miss you,creepy_flirt
you didn’t go jogging today,stalker_behavior
tum sabko apne trap me fasati,harassment_med
small lips,harassment_mild
kaali kaluti,harassment_severe
dirty mind,harassment_med
tumhare jaise logon ko sab jante hain,harassment_med
nice to see genuine content,safe
you are useless,harassment_med
you’ve ruined your reputation,harassment_severe
apne jaise ladkiyon se hi sabki badnaami hoti hai,harassment_med
prettyyy,safe
so pretty,safe
you came from gate number 4,stalker_behavior
weight barh gaya kya,harassment_mild
you looked outside café window,stalker_behavior
fake-feminist,harassment_med
i saved your picture,creepy_flirt
nose ajeeb hai,harassment_mild
old pics better,harassment_mild
bindaas,safe
nobody likes you,harassment_med
tumhara content genuine lagta hai,safe
keep shining queen,safe
tumhare smile ka fan ho gaya hoon,creepy_flirt
you took cab number 3425,stalker_behavior
you are a walking embarrassment to your family,harassment_severe
cheap content creator,harassment_med
hot,creepy_flirt
your content is a disgrace,harassment_severe
why would anyone tolerate you?,harassment_severe
keep going queen,safe
tumhara favourite bench park mein hai,stalker_behavior
koi bhi tumhe seriously nahi leta,harassment_med
tumhara account band karwa dunga,harassment_med
your presence makes things worse,harassment_severe
tumne camera me dekha aur muskurayi,stalker_behavior
gandi lagti ho ab,harassment_med
tumhara dikhawa zyada din nahi chalega,harassment_med
profilecheck,creepy_flirt
full of love and kindness,safe
tumne chai li stall number 3 se,stalker_behavior
you're so fake it's obvious,harassment_med
tumhara fashion bhi outdated hai,harassment_mild
"besharam ladki, ghar wale kuch nahi bolte kya",harassment_severe
tum lunch ke baad café gayi thi,stalker_behavior
kaali,harassment_med
khudko kuch samajhti kya ho,harassment_mild
i saw you drinking coffee alone,stalker_behavior
don't ignore me pls,creepy_flirt
tum toh jalwa ho,creepy_flirt
tumhara overconfidence irritate karta,harassment_mild
you were at the grocery counter 3,stalker_behavior
"abhi chhod raha hoon, next time nahi",harassment_severe
perfect caption,safe
you’re nothing but trouble online,harassment_severe
tum auto stand ke corner me thi,stalker_behavior
tumhe follow karte hue maza aata hai,creepy_flirt
"tum online ho na, dekh raha hoon",creepy_flirt
tumhara character hi kharab lagta hai,harassment_severe
oily hair,harassment_mild
online zyada hawa mat khana,harassment_med
fuck you if u don’t like this,harassment_severe
pimples bhare,harassment_mild
you turned around near bakery,stalker_behavior
maar,harassment_severe
princess,creepy_flirt
you’re an offensive presence online,harassment_severe
tumhara level low hai,harassment_med
tum bas bakwaas karti ho,harassment_mild
sawyourpost,creepy_flirt
you went to the grocery store today,stalker_behavior
you ruin everything,harassment_severe
great-acting,harassment_mild
can’t get over your pic,creepy_flirt
fake-smile,harassment_mild
simple and sweet,safe
love your post,safe
tum toh dil le jaogi ek din,creepy_flirt
tumhare jaise ladki bas ek hi hoti hai,creepy_flirt
apna level dekh ke reel bana,harassment_med
you didn’t notice me crossing road,stalker_behavior
tumhara expression sweet hai,safe
you took a walk in park today,stalker_behavior
outfit suit nahi karta,harassment_mild
hot look,creepy_flirt
hey beautiful.,creepy_flirt
fucking slut,harassment_severe
dressing sense bakwaas,harassment_med
beautiful and natural look,safe
skin clean karo,harassment_mild
complexion kharab,harassment_mild
"tum logon ke saamne angel banti ho, par real me alag",harassment_med
tum ek hi jagah photo leti ho,stalker_behavior
ugly,harassment_severe
slap,harassment_med
you are an insult to common sense,harassment_severe
tumhara version har jaga hai,harassment_mild
shame on you,harassment_med
you and me would look great together,creepy_flirt
ghatiya,harassment_med
tumhari presence bohot positive hai,safe
love your vibe too much,creepy_flirt
cheap content,harassment_med
savedpic,creepy_flirt
you are a disgraceful user,harassment_severe
you belong to me,creepy_flirt
bad face,harassment_severe
this account should be banned,harassment_severe
tumne yellow bag carry kiya tha,stalker_behavior
you inspire me everyday,safe
bahut giri hui,harassment_med
